RPMs,5.9968033E10
ASMs,8.3661813E10
Miles,3.02604723E8
Gallons,1.380294297E9
Aircraft Days,54774.0
Total Fleet,8519073.0
Pilots (000),2355641.0
Salaries and Wages (000),1561213.0
Pilot Training (000),69741.0
Benefits and Payroll Taxes (000),591501.0
Per Diem/ Personnel (000),133186.0
Purchased Goods (000),2507129.0
Fuel/Oil (000),2330634.0
Insurance (000),22679.0
Other (inc. Tax) (000),153816.0
Maintenance (000),2084826.0
Labor (000),363869.0
Materials (000),383360.0
Third Party (000),399245.0
Total Direct (000),1040226.0
Burden (000),1044600.0
Aircraft Ownership (000),1627654.0
Rentals (000),858353.0
Depreciation and Amortization (000),769301.0
Other (000),-56177.0
Aircraft In Fleet,597.0
Seats Per Departure,188.0
Average Stage Length,1181.0
Gallons of Fuel Per Block Hour,1301.0
Load Factor,1.0
Block Hours,10.0
Airborne Hours,9.0
Departures,3.0
Block Hours,2168914.0
Airborne Hours,1879584.0
Departures,743141.0
RPMs,1.16636188E11
ASMs,1.64850408E11
Miles,8.77924549E8
Gallons,2.820904663E9
Aircraft Days,217971.0
Number of Days,365.0
Sum of Block Hours,1175233.0
Sum of Airborne Hours,977411.0
Sum of Departures,536710.0
Sum of RPMs,3.7465421E10
Sum of ASMs,5.3962804E10
Sum of Miles,4.25713355E8
Sum of Gallons,1.041841612E9
Sum of ACFleet,127488.0
Sum of Total AC Op,3452306.0
Sum of Pilots,999164.0
Sum of Salaries and Wages,649540.0
Sum of Pilot Training,29921.0
Sum of Benefits and Payroll Taxes,247814.0
Sum of Per Diem/ Personnel,71889.0
Sum of Purchased Goods,935681.0
Sum of Fuel/Oil,855035.0
Sum of Insurance,7264.0
Sum of Other (inc. Tax),73382.0
Sum of MX,949448.0
Sum of Labor,148830.0
Sum of Materials,154068.0
Sum of Third Party,196397.0
Sum of Total Direct,489601.0
Sum of Burden,459847.0
Sum of Aircraft Ownership,570138.0
Sum of Rentals,315176.0
Sum of Depreciation and Amortization,254962.0
Sum of Other,12129.0
Sum of Block Hours,360444.0
Sum of Airborne Hours,315978.0
Sum of Departures,108181.0
Sum of RPMs,1.9202734E10
Sum of ASMs,2.7225791E10
Sum of Miles,1.49606471E8
Sum of Gallons,3.98768754E8
Sum of ACFleet,35709.0
Sum of Total AC Op,1341762.0
Sum of Pilots,341755.0
Sum of Salaries and Wages,226826.0
Sum of Pilot Training,8983.0
Sum of Benefits and Payroll Taxes,85129.0
Sum of Per Diem/ Personnel,20817.0
Sum of Purchased Goods,346434.0
Sum of Fuel/Oil,316068.0
Sum of Insurance,3371.0
Sum of Other (inc. Tax),26995.0
Sum of MX,371950.0
Sum of Labor,62660.0
Sum of Materials,73452.0
Sum of Third Party,34995.0
Sum of Total Direct,169453.0
Sum of Burden,202497.0
Sum of Aircraft Ownership,277118.0
Sum of Rentals,176459.0
Sum of Depreciation and Amortization,100659.0
Sum of Other,4091.0
Sum of Block Hours,633237.0
Sum of Airborne Hours,586195.0
Sum of Departures,98250.0
Sum of RPMs,5.9968033E10
Sum of ASMs,8.3661813E10
Sum of Miles,3.02604723E8
Sum of Gallons,1.380294297E9
Sum of ACFleet,54774.0
Sum of Total AC Op,3725005.0
Sum of Pilots,1014722.0
Sum of Salaries and Wages,684847.0
Sum of Pilot Training,30837.0
Sum of Benefits and Payroll Taxes,258558.0
Sum of Per Diem/ Personnel,40480.0
Sum of Purchased Goods,1225014.0
Sum of Fuel/Oil,1159531.0
Sum of Insurance,12044.0
Sum of Other (inc. Tax),53439.0
Sum of MX,763428.0
Sum of Labor,152379.0
Sum of Materials,155840.0
Sum of Third Party,167853.0
Sum of Total Direct,381172.0
Sum of Burden,382256.0
Sum of Aircraft Ownership,780398.0
Sum of Rentals,366718.0
Sum of Depreciation and Amortization,413680.0
Sum of Other,12992.0
Sum of Block Hours,2168914.0
Sum of Airborne Hours,1879584.0
Sum of Departures,743141.0
Sum of RPMs,1.16636188E11
Sum of ASMs,1.64850408E11
Sum of Miles,8.77924549E8
Sum of Gallons,2.820904663E9
Sum of ACFleet,217971.0
Sum of Total AC Op,8519073.0
Sum of Pilots,2355641.0
Sum of Salaries and Wages,1561213.0
Sum of Pilot Training,69741.0
Sum of Benefits and Payroll Taxes,591501.0
Sum of Per Diem/ Personnel,133186.0
Sum of Purchased Goods,2507129.0
Sum of Fuel/Oil,2330634.0
Sum of Insurance,22679.0
Sum of Other (inc. Tax),153816.0
Sum of MX,2084826.0
Sum of Labor,363869.0
Sum of Materials,383360.0
Sum of Third Party,399245.0
Sum of Total Direct,1040226.0
Sum of Burden,1044600.0
Sum of Aircraft Ownership,1627654.0
Sum of Rentals,858353.0
Sum of Depreciation and Amortization,769301.0
Sum of Other,29212.0
